ID,SKU,Name,Published,Is featured?,Description,In stock?,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Sale price,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_linkdex,Meta: _yoast_wpseo_title,slug
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content"" aria-expanded=""false"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content"" aria-expanded=""false"">
\n<div class=""a-expander-content a-expander-partial-collapse-content"" aria-expanded=""false"">
\n<div class=""a-expander-content a-expander-partial-collapse-content"" aria-expanded=""false"">
\n<div class=""a-expander-content a-expander-partial-collapse-content"" aria-expanded=""false"">The book begins with an introduction to remote sensing and GIS, and then proceeds to provide in-depth coverage of a wide range of relevant topics, including but not limited to: optical, thermal, and microwave remote sensing; global navigation satellite systems (GNSS); digital photogrammetry; visual image analysis; digital image processing; spatial and attribute data model; geospatial analysis; planning, implementation, and management of GIS; and so on. New developments in remote sensing and geographic information systems are also presented, together with an illustrated overview of their many practical applications. Scale is becoming more important in geographic information technologies due to their increased application in fields such as remote sensing and geographic information systems (GIS). From the standpoint of earth and environmental sciences, this book explores several facets of remote sensing and geographic information systems. Spectral data from space images is being used in novel ways, and this is being highlighted by the topic of remote sensing and geographic information system applications for sustainable development.</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>",1,2,0.35,23,15,2.5,,580,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2023/12/Remote-Sensing-Geographical-Information-Systems01-scaled.jpg,Name of Author,Dr. S.N. Bansal@Sharad,1,0,ISBN Number,978-81-19832-13-2,1,0,,,,,,,,,,,,,remote-sensing-geographical-information-systems-2

5802,,quality assurance in practice a handbook for professionals,1,0,"The ""Handbook on Quality Assurance and Management"" is an essential resource for professionals in the construction industry. This book addresses the complexities of maintaining quality standards throughout the lifecycle of construction projects. It provides a detailed overview of various quality assurance techniques, from project initiation to the final delivery of the project. The content is structured across multiple chapters, each focusing on a key aspect of quality management, including roles and responsibilities, quality control, audit processes, testing protocols, and environmental considerations. Special attention is given to the CPWD Green Rating Manual and the technical aspects of construction materials, including water quality and soil investigation. The book also delves into specific topics like non-conformance management, third-party audits, and safety measures, ensuring a comprehensive approach to quality. With practical guidelines, checklists, and detailed explanations, this handbook is designed to assist contractors, engineers, and project managers in ensuring that their projects are not only compliant but also of the highest quality. Whether you're a beginner or an experienced professional, this book provides a thorough foundation for achieving excellence in construction quality assurance.",1,2,0.35,23,15,2.5,,590,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2025/04/QUALITY-ASSURANCE-IN-PRACTICE-A-HANDBOOK-FOR-PROFESSIONALS-scaled.jpg,Name of Author,"Dr. Sajal Mitra\, Dr. S. N. Bansal @Sharad",1,0,ISBN Number,978-81-983517-6-0,1,0,,,,,,,,,,,,,quality-assurance-in-practice-a-handbook-for-professionals-2

2140,,production and operations management,1,0,"<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n
\n<span style=""font-weight: 400;"">The responsibility of production management is to establish and cultivate a correlation between the production capability of an organization and the demands of the market. It guarantees the achievement of the dual organizational goals of productivity and customer satisfaction. Inventory management and planning, organizing, directing, and controlling are all that are required to achieve these two goals. Production management encompasses the systematic coordination and control of production factors, including personnel, equipment, materials, finances, and management, with the ultimate goal of ensuring customer satisfaction with the final product.</span>
\n
\n<span style=""font-weight: 400;"">Production and Operation Management is concerned with the operational implementation of the business concept in order to generate products and services. Additionally, they are indispensable in both manufacturing and service-oriented organizations. The primary aim of this endeavor is to utilize the organization's resources in order to generate market-ready products and services. Adding value is what the production function strives to achieve. Whether it be products or services, the objective is to develop an entity that will fortify the organization's rapport with its clientele. However, this cannot be accomplished solely by the production division. Additionally, marketing professionals play a significant function in this. Given their role as the distributors of the product to prospective purchasers, they ought to possess the ability to communicate customer or consumer preferences to the production department.</span>
\n
\n</div>",1,2,0.35,23,15,2.5,,465,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2023/11/Production-and-operations-Management.jpg,Name of Author,Dr. Yenda Srinivasa Rao,1,0,ISBN Number,978-81-967239-7-2,1,0,,,,,,,,,,,,,production-and-operations-management-2

2128,,probability and statistics,-1,0,"<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">Probability is a branch of mathematics that quantifies uncertainty and the likelihood of events occurring. It provides a framework for measuring and analyzing the chances of different outcomes in various situations. Probability is expressed as a number between 0 and 1, where o indicates impossibility and 1 represents certainty. Statistics is the discipline concerned with collecting, analyzing, interpreting, and presenting data. It involves the study of data variability, patterns, and relationships to uncover insights and draw meaningful conclusions. Statistics provides methods and techniques to summarize, organize, and visualize data, and to make inferences about populations based on sample data. From its insightful explanations to its engaging examples, ""Probability and Statistics"" takes readers on an enlightening journey through the core principles and applications of probability and statistics. Drawing on real-world scenarios and practical problems, the book provides a solid foundation for understanding and applying these essential mathematical tools. Here the probability and statistics in a clear and accessible manner, catering to both beginners and those seeking a deeper understanding. We will delve into key concepts such as random variables, probability distributions, hypothesis testing, regression analysis, and much more. Through illustrative examples, practical applications, and problem-solving exercises, we will guide you on a progressive journey from the fundamentals to more advanced topics.</div>\n<div class=""a-expander-header a-expander-partial-collapse-header""></div>",1,2,0.35,23,15,2.5,,599,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2023/09/61jYbawWiL._SY445_SX342_.jpg,Name of Author,"Dr. Manoj Kumar Sharma\, Dr. Amit Kumar Pandey\, Dr. Niru Kumari\,Dr. Manoj Kumar",1,0,ISBN Number,978-8119338337,1,0,,,,,,,,,,,,,probability-and-statistics

5475,,pride and perjudice,1,0,"<p class="""" data-start=""173"" data-end=""448""><strong data-start=""173"" data-end=""196"">Pride and Prejudice</strong> by <strong data-start=""200"" data-end=""215"">Jane Austen</strong> is a beloved classic that explores love, marriage, social class, and personal growth. Set in 19th-century England, the story follows Elizabeth Bennet as she deals with family expectations and her complex relationship with Mr. Darcy.</p>
\n<p class="""" data-start=""450"" data-end=""483""><strong data-start=""450"" data-end=""483"">Why You Should Read This Book</strong></p>
\n<p class="""" data-start=""485"" data-end=""746"">This novel offers more than just a romantic plot. Austen’s sharp wit and keen social commentary bring the world of the English gentry to life. Moreover, the characters are richly developed and deeply human, making them easy to connect with—even centuries later.</p>
\n<p class="""" data-start=""748"" data-end=""765""><strong data-start=""748"" data-end=""765"">Major Themes:</strong></p>
\n
\n<ul data-start=""767"" data-end=""1211"">
\n 	<li class="""" data-start=""767"" data-end=""915"">
\n<p class="""" data-start=""769"" data-end=""915""><strong data-start=""769"" data-end=""791"">Love vs. Marriage:</strong> Elizabeth challenges the idea of marrying for wealth or status. Instead, she seeks a partner who values respect and love.</p>
\n</li>
\n 	<li class="""" data-start=""916"" data-end=""1077"">
\n<p class="""" data-start=""918"" data-end=""1077""><strong data-start=""918"" data-end=""941"">Pride and Judgment:</strong> Darcy and Elizabeth must overcome their own assumptions. Through self-reflection, they learn to understand and appreciate each other.</p>
\n</li>
\n 	<li class="""" data-start=""1078"" data-end=""1211"">
\n<p class="""" data-start=""1080"" data-end=""1211""><strong data-start=""1080"" data-end=""1102"">Class and Society:</strong> Austen critiques the rigid social structure of her time, showing how it affects relationships and choices.</p>
\n</li>
\n</ul>
\n<p class="""" data-start=""1213"" data-end=""1328"">In addition, readers will find timeless lessons on humility, growth, and the importance of staying true to oneself.</p>
\n<p class="""" data-start=""1330"" data-end=""1347""><strong data-start=""1330"" data-end=""1347"">Explore More:</strong></p>
\n
\n<ul data-start=""1349"" data-end=""1518"">
\n 	<li class="""" data-start=""1349"" data-end=""1444"">
\n<p class="""" data-start=""1351"" data-end=""1444"">📘 <a target=""_new"" rel=""noopener"" data-start=""1354"" data-end=""1442"">Browse More AG Classics</a></p>
\n</li>
\n 	<li class="""" data-start=""1445"" data-end=""1518"">
\n<p class="""" data-start=""1447"" data-end=""1518"">📚 <a class="""" href=""https://en.wikipedia.org/wiki/Jane_Austen"" target=""_new"" rel=""noopener"" data-start=""1450"" data-end=""1518"">Learn About Jane Austen</a></p>
\n</li>
\n</ul>
\n<p class="""" data-start=""1520"" data-end=""1655"">Experience the charm and insight of <strong data-start=""1556"" data-end=""1579"">Pride and Prejudice</strong>—a novel that continues to inspire and entertain readers across generations.</p>",0,,0.35,30,21,2,159,200,AG Classics,https://store.agphbooks.com/wp-content/uploads/2025/03/PRIDE-AND-PERJUDICE-scaled.jpg,Name Of Author,Jane Austen,1,0,ISBN Number,978-81-19832-31-6,1,0,,,,,,,,,Pride and Prejudice,"Pride and Prejudice by Jane Austen is a timeless romance exploring love, class, and wit in 19th-century England. A must-read classic for every reader.",75,Pride and Prejudice %%page%% %%sep%% %%sitename%%,pride-and-perjudice

2145,,operations research,1,0,"<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n
\nThe textbook ""Operations Research"" has been specifically developed according to the academic needs of students pursuing degrees in the fields of engineering and science. The purpose of this book is to facilitate comprehension and use of operations research methodologies in industrial operations, as well as foster an understanding of resource optimization. The book may also serve as a valuable resource for management courses and research projects within this particular field.
\n
\nThe book provides an introduction to fundamental concepts in linear programming, including the formulation and graphical solution of linear programming problems (LPP), as well as the simplex and revised simplex techniques. The book includes sequencing and scheduling, specifically focusing on the critical path method and programme evaluation and review techniques.
\n
\nAdditionally, the book covers dynamic, integer, and goal programming, as well as game and decision theories. Furthermore, the curriculum explores queuing, replacement, and inventory models, encompassing both deterministic and probabilistic approaches. The book also includes an examination of simulation, non-linear programming, and classical optimisation techniques.
\n
\nThis book aims to provide a comprehensive overview of the operations models that comprise the model base, a part of the Decision Support System, within the expanding domain of analytics. The objective of the book is to convey the subject matter in a manner that facilitates comprehension for students of varying aptitudes, ensuring accessibility for even those with ordinary academic abilities. The book has a simple and accessible language that facilitates understanding.
\n
\n</div>",1,2,0.35,23,15,2.5,,590,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2023/11/Operations-Research.jpg,Name of Author,Dr. Yenda Srinivasa Rao,1,0,ISBN Number,978-81-19843-12-1,1,0,,,,,,,,,,,,,operations-research-2

9301,,national education policy 2020: the key to development in india (volume-2),1,0,"""National Education Policy 2020: The Key to Development in India"" provides an in-depth exploration of the NEP 2020, which promises to revolutionize the Indian education system. This book comprehensively analyzes the key components of the policy, from curriculum reforms to the emphasis on multilingual education, and the introduction of new pedagogical methods. It sheds light on how the policy addresses critical issues such as access, quality, and equity, ensuring that education becomes more inclusive and equitable for all segments of society.
\nBy focusing on areas such as early childhood education, vocational training, teacher empowerment, and the integration of technology, this book illustrates how NEP 2020 aims to create a holistic and well-rounded educational experience. It highlights how these changes will contribute to India's socio-economic development by nurturing a skilled and knowledgeable workforce, capable of meeting global challenges.
\nThis book is not only a guide to understanding the intricacies of the National Education Policy but also a call to action for educators, administrators, and citizens to actively participate in shaping a better future for India through education. It is a timely and crucial resource for anyone seeking to understand the pivotal role education will play in India's growth and development in the years to come.",1,1,0.35,23,15,2.5,,590,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2025/07/NATIONAL-EDUCATION-POLICY-2020-THE-KEY-TO-DEVELOPMENT-IN-INDIA-VOLUME-2-scaled.avif,Name of Author,"Dr. Pratima Mishra\, Dr. Deepak",1,0,ISBN Number,978-93-49028-49-4,1,0,No. Of Pages,94,1,0,,,,,,,,,national-education-policy-2020-the-key-to-development-in-india-volume-2-2

9304,,"modern trends in medicinal chemistry: techniques, applications, and innovations (volume-1)",1,0,"Modern Trends in Medicinal Chemistry: Techniques, Applications, and Innovations (Volume-1) is a  timely and comprehensive compilation of peer-reviewed chapters that collectively reflect the evolving landscape of modern medicinal chemistry. With the convergence of traditional synthetic methods and emerging interdisciplinary technologies, this book provides a scholarly platform for understanding the significant innovations shaping the pharmaceutical sciences today.
\nThis volume features twelve well-researched chapters authored by reputed academicians and scientists. The topics span across advanced drug design, green chemistry applications, natural product-based drug discovery, targeted drug delivery systems, nanotechnology in medicine, and the application of artificial intelligence and computational tools in drug development. Each contribution provides critical insights into the challenges and future directions within its thematic focus, while offering practical perspectives for academic research, clinical translation, and industry relevance.
\nDesigned for postgraduate students, researchers, educators, and professionals in the pharmaceutical and biomedical sectors, this book bridges theoretical frameworks and applied science. It encourages interdisciplinary thinking and highlights global research efforts aimed at enhancing therapeutic outcomes and achieving innovation-driven healthcare solutions. As the first volume of an ongoing series, this book lays a strong foundation for subsequent explorations in the field of medicinal chemistry.",1,1,0.35,23,15,2.5,,590,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2025/07/Modern-Trends-in-Medicinal-Chemistry-Techniques-Applications-and-Innovations-VOLUME-1-scaled.avif,Name of Author,"Dr. Subash Chandra Sahu\, Dr. Chandini Behera",1,0,ISBN Number,978-93-49028-76-0,1,0,No. Of Pages,92,1,0,,,,,,,,,modern-trends-in-medicinal-chemistry-techniques-applications-and-innovations-volume-1-2

3226,,materials science in engineering: understanding the properties of matter,-1,0,"This book provides a comprehensive exploration of the properties of materials and their role in engineering. It begins by introducing the importance of materials science in understanding how materials are used in various engineering applications, from everyday products to advanced technologies. The book covers the classification of materials such as metals, ceramics, polymers, and composites, explaining their unique properties and uses in engineering. It explores into atomic structure and bonding, highlighting how the arrangement of atoms influences the material's behavior and properties, such as strength, flexibility, and conductivity. The text also explores mechanical properties, including stress, strain, elasticity, and plasticity, and discusses how materials react to forces, temperature, and electrical or magnetic fields. Key thermal properties, such as heat capacity and thermal conductivity, are explained, along with the effects of temperature on material performance. Additionally, the book addresses corrosion and degradation, offering insights into the challenges of maintaining materials in harsh environments. Advanced topics such as nanomaterials, biomaterials for medical applications, and smart materials that respond to external stimuli are also explored. The book concludes by discussing the tools and techniques used to characterize materials, helping engineers select the right material for the right application.",1,2,0.35,23,15,2.5,,590,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2024/12/Materials-Science-in-Engineering-Understanding-the-Properties-of-Matter.png,Name of Author,Dr. Sanjay Pandey,1,0,ISBN Number,978-81-983756-6-7,1,0,,,,,,,,,,,,,materials-science-in-engineering-understanding-the-properties-of-matter-2

5795,,management principles practice and techniques,1,0,"Management Principles, Practices, and Techniques offers an in-depth exploration of management, from its ancient origins to its evolution into modern practices. Divided into key sections, the book provides a comprehensive understanding of essential management concepts within organizations. It covers core topics such as formal and informal communication, different types of organizations, and the principles that shape organizational structure and function. Readers will gain foundational knowledge in management, with insights into how these practices are applied in real-world settings. The book delves into organizational behaviour and management philosophy, offering a thorough examination of how organizations operate and achieve their objectives. By blending historical and contemporary perspectives, it helps readers understand the evolution of management theories and their relevance in today’s workplaces.
\n
\nThe book explores various types of management research techniques, offering practical guidance for learners, students, and professionals who want to enhance their understanding of management principles. By including detailed discussions of management functions, organizational dynamics, and study techniques, it equips readers with the knowledge to effectively apply management concepts in a variety of organizational settings. This resource serves as a valuable tool for those looking to broaden their comprehension of management and improve their ability to lead within an organization.",1,2,0.35,23,15,2.5,,590,Academic Guru,https://store.agphbooks.com/wp-content/uploads/2025/04/Management-Principles-practice-and-techniques.jpg,Name of Author,"Dr. Rashi Saxena\, Dr. Smita Dron\, Prof. (Dr.) Tulika Saxena. Dr. Ashok Kumar",1,0,ISBN Number,978-81-978851-1-2,1,0,,,,,,,,,,,,,management-principles-practice-and-techniques

2137,,management and organization behaviour,1,0,"<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n
\n<span style=""font-weight: 400;"">""Management and Organisational Behaviour"" is an essential reference for individuals in pursuit of a thorough comprehension of the fundamental principles that dictate effective management and the intricacies of organisations. This book is designed to cater to many individuals, including students starting out in the business world, seasoned professionals seeking to enhance their leadership abilities, and academics in search of a comprehensive resource. By conducting a comprehensive examination of both traditional and modern theories, this work offers valuable perspectives on the complexities of leadership, team dynamics, and decision-making within the constantly changing context of contemporary organisations.</span>
\n
\n<span style=""font-weight: 400;"">Distinguishable is the book's pragmatic methodology, which integration of theory and practice is seamless. By relating complex organizational challenges to academic principles, the use of engaging case studies and examples assists readers in applying their knowledge. This book effectively incorporates diverse cultural perspectives in order to assist readers in navigating an interconnected world, mirroring the current globalized business environment. The book encompasses a diverse array of management and organizational behaviour trends, such as the transformative impact of technology, the intricacies of remote work, and the evolving responsibilities of leadership in the twenty-first century. Readers engage in an examination, interrogation, and introspection of ""Management and Organizational Behaviour,"" demonstrating a dedication to the development and adjustment of management knowledge.</span>
\n
\n</div>",1,2,0.35,23,15,2.5,,465,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2023/11/Management-and-Organization-Behaviour.jpg,Name of Author,Dr. Yenda Srinivasa Rao,1,0,ISBN Number,978-81-967239-5-8,1,0,,,,,,,,,,,,,management-and-organization-behaviour-2

885,,"iot: understanding the fundamentals, operations and applications",1,0,"<div>
\n
\nAn evolutionary phase in the Internet's growth is the Internet of Things, which establishes a global infrastructure for integrating devices as well as humans. A major emphasis of the early Internet use as well as implementation, which began in earnest in 1990s, was on how it will alter traditional business models for financial transactions, online shopping, news consumption, as well as information sharing. From banking &amp; retail to face-to-face communication as well as government services, it has been a revolution that digitised a broad variety of services. Internet revolution's initial two decades concentrated on services as well as enterprises for consumers, but human-centric. For customers, new business models emerged for online shopping, banking, video conferencing, and more. As a result of the rapid speed of the cloud revolution as well as business-to-business models, several industries have been completely wiped out. Economies throughout the world have been impacted greatly. A new way of life is being seen as well as experienced today due of the Internet's ability to reach our homes as well as our workplaces.
\n
\n</div>
\n<div>
\n
\nIoT technologies, application areas, architectures, as well as the future prospects are all covered in this book. Many elements go into the creation of a comprehensive Internet-of-things system as well as service. Embedded processors, various kinds of memory, actuators, sensors, cloud servers, network systems, intermediary processing systems, as well as gateways all form part of the hardware infrastructure. At the very least, the software foundation contains databases, operating systems, and control programmes for a wide range of applications.
\n
\n</div>
\n<div>
\n
\nThe Internet of Things (IoT) is a rapidly evolving field. This book serves as a record of the present condition of affairs. The work on this book is still ongoing, so we expect to add more material as the topic develops.
\n
\n</div>",1,2,0.35,23,15,2.5,,550,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2022/03/cover-front.png,Author,"Dr. Pankaj Dadheech
Dr. Sanwta Ram Dogiwal",1,0,ISBN,9.79E+12,1,0,Language,English,1,0,,,,,,,,,iot-understanding-the-fundamentals-operations-and-applications-2

1750,,intellectual property rights and business security,-1,0,"<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">The World Intellectual Property Organization defines intellectual property as ""creations of the mind,"" which includes inventions, literary and creative works, as well as symbols, names, pictures, and designs utilized in commercial transactions. The organization recognizes two different categories of intellectual property, namely ""industrial"" and ""copyright,"" and establishes a difference between the two. The first kind of intellectual property is often the sort that is held by enterprises (inventions, industrial designs, etc.), while the second type of intellectual property relates to creative productions such as original literature or music. This book takes an industrial approach to the concept of intellectual property, concentrating on the legal actions and preventive safety measures that a company can take to preserve its intellectual property both now and in the future. This book takes a methodical approach to discussing how to file for and defend various types of intellectual property, as well as the associated techno-legal concepts. It brings together the fundamental ideas behind all different kinds of intellectual property rights (IPR), as well as the procedures for registering them and the regulations governing their use. The protection of intellectual assets is more challenging than the protection of other kinds of properties because intellectual properties are intangible. It is common practice to use the word ""intellectual property' in legal contexts in order to protect the rights of artists and inventors because of the monetary connotations of the term. By granting artists and inventors exclusive rights to their work for a certain amount of time, Intellectual Property Rights (IPR) serve to both promote and protect those who engage in creative endeavors.</div>
\n<div class=""a-expander-header a-expander-partial-collapse-header""></div>",1,2,0.35,23,15,2.5,,560,AGPH Books,https://store.agphbooks.com/wp-content/uploads/2023/05/51aAo5kUmL._SX381_BO1204203200_.jpg,Name of Author,"Dr. Avon Kumar Vaid\, Dr. Mayur Parmar\, G R Srikkanth\, Prof. Meera K L",1,0,ISBN Number,978-81-19025-80-0,1,0,,,,,,,,,,,,,intellectual-property-rights-and-business-security-2

1350,,integrated solid waste management,1,0,"<div class=""page"" title=""Page 6"">
\n<div class=""layoutArea"">
\n<div class=""column"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
\n<div class=""a-expander-content a-expander-partial-collapse-content a-expander-content-expanded"" aria-expanded=""true"">
